title,authors,text,average_rating,ratings_count
Gilead,marilynnerobinson,"['marilynnerobinson', 'fiction', 'novel', 'reader', 'critic', 'eagerly', 'anticipating', 'decade', 'gilead', 'astonishingly', 'imagined', 'story', 'remarkable', 'life', 'john', 'ames', 'preacher', 'son', 'preacher', 'grandson', 'maternal', 'paternal', 'preacher', '’', '1956', 'gilead', 'iowa', 'towards', 'end', 'reverend', 'ames', '’', 'life', 'absorbed', 'recording', 'family', '’', 'story', 'legacy', 'young', 'son', 'never', 'see', 'grow', 'haunted', 'grandfather', '’', 'presence', 'john', 'tell', 'rift', 'grandfather', 'father', 'elder', 'angry', 'visionary', 'fought', 'abolitionist', 'cause', 'son', 'ardent', 'pacifist', 'troubled', 'prodigal', 'namesake', 'jack', 'john', 'ames', 'boughton', 'best', 'friend', '’', 'lost', 'son', 'return', 'gilead', 'searching', 'forgiveness', 'redemption', 'told', 'john', 'ames', '’', 'joyous', 'rambling', 'voice', 'find', 'beauty', 'humour', 'truth', 'smallest', 'life', '’', 'detail', 'gilead', 'song', 'celebration', 'acceptance', 'best', 'worst', 'world', 'offer', 'heart', 'tale', 'sacred', 'bond', 'father', 'son', 'pitchperfect', 'style', 'story', 'set', 'dazzle', 'critic', 'reader', 'alike']",3.85,361.0
Spider's Web,charlesosborne agathachristie,"['charlesosborne', 'agathachristie', 'detective', 'mystery', 'story', 'new', 'christie', 'christmas', 'fulllength', 'novel', 'adapted', 'acclaimed', 'play', 'charles', 'osborne', 'following', 'black', 'coffee', 'unexpected', 'guest', 'come', 'final', 'agatha', 'christie', 'play', 'novelisation', 'bringing', 'superb', 'storytelling', 'new', 'legion', 'fan', 'clarissa', 'wife', 'foreign', 'office', 'diplomat', 'given', 'daydreaming', 'supposing', 'come', 'one', 'morning', 'find', 'dead', 'body', 'library', 'mus', 'clarissa', 'chance', 'find', 'discovers', 'body', 'drawingroom', 'house', 'kent', 'desperate', 'dispose', 'body', 'husband', 'come', 'home', 'important', 'foreign', 'politician', 'clarissa', 'persuades', 'three', 'house', 'guest', 'become', 'accessory', 'accomplice', 'seems', 'murdered', 'man', 'unknown', 'certain', 'member', 'house', 'party', 'one', 'search', 'begin', 'murderer', 'motive', 'time', 'trying', 'persuade', 'police', 'inspector', 'murder', 'spider', 'web', 'written', '1954', 'specifically', 'margaret', 'lockwood', 'opened', 'first', 'theatre', 'royal', 'nottingham', 'moving', 'savoy', 'theatre', 'london', '14', 'december', '1954', 'mousetrap', 'wi']",3.83,5164.0
The One Tree,stephenrdonaldson,"['stephenrdonaldson', 'american', 'fiction', 'volume', 'two', 'stephen', 'donaldsons', 'acclaimed', 'second', 'trilogy', 'featuing', 'compelling', 'antihero', 'thomas', 'covenant']",3.97,172.0
Rage of angels,sidneysheldon,"['sidneysheldon', 'fiction', 'memorable', 'mesmerizing', 'heroine', 'jennifer', 'brilliant', 'beautiful', 'attorney', 'way', 'mafia', 'scheme', 'win', 'hatred', 'implacable', 'enemy', 'love', 'destructive', 'hate', 'dangerous', 'dramatic', 'world', 'dark', 'arena', 'organized', 'crime', 'flashbulb', 'lit', 'courtroom', 'ambitious', 'prosecutor', 'begin', 'climb', 'political', 'power']",3.93,29532.0
The Four Loves,clivestapleslewis,"['clivestapleslewis', 'christian', 'life', 'lewis', 'work', 'nature', 'love', 'divide', 'love', 'four', 'category', 'affection', 'friendship', 'eros', 'charity', 'first', 'three', 'come', 'naturally', 'humanity', 'charity', 'however', 'giftlove', 'god', 'divine', 'without', 'supernatural', 'love', 'natural', 'love', 'become', 'distorted', 'even', 'dangerous']",4.15,33684.0
The Problem of Pain,clivestapleslewis,"['clivestapleslewis', 'christian', 'life', 'problem', 'pain', 'c', 'lewis', 'one', 'renowned', 'christian', 'author', 'thinker', 'examines', 'universally', 'applicable', 'question', 'within', 'human', 'condition', 'god', 'good', 'allpowerful', 'allow', 'creature', 'suffer', 'pain', 'signature', 'wealth', 'compassion', 'insight', 'c', 'lewis', 'offer', 'answer', 'crucial', 'question', 'share', 'hope', 'wisdom', 'help', 'heal', 'world', 'hungering', 'true', 'understanding', 'human', 'natureamazon']",4.09,37569.0
An Autobiography,agathachristie,"['agathachristie', 'author', 'english', 'donation']",4.27,3975.0
Empires of the Monsoon,richardhall,"['richardhall', 'africa', 'east', 'vasco', 'da', 'gama', 'discovered', 'searoute', 'east', '14979', 'almost', 'nothing', 'known', 'west', 'exotic', 'culture', 'wealth', 'indian', 'ocean', 'people', 'civilization', 'destruction', 'hand', 'west', 'richard', 'hall', 'recreates', 'book', 'hall', 'history', 'exploration', 'exploitation', 'chinese', 'arab', 'traveller', 'portuguese', 'dutch', 'british', 'alike', 'one', 'brutality', 'betrayal', 'colonial', 'ambition']",4.41,65.0
The Gap Into Madness,stephenrdonaldson,"['stephenrdonaldson', 'hyland', 'morn', 'fictitious', 'character', 'newcover', 'reissue', 'fourth', 'book', 'bestselling', 'fivevolume', 'sf', 'series', 'created', 'worldfamous', 'author', 'thomas', 'covenant', 'chronicle', 'acclaimed', 'best', 'work', 'career', 'event', 'moving', 'amnion', 'intended', 'human', 'false', 'dealing', 'alien', 'planetoid', 'thanatos', 'minor', 'exploded', 'atom', 'trumpet', 'hurtled', 'space', 'one', 'step', 'ahead', 'hostile', 'pursuer', 'board', 'morn', 'hyland', 'forcegrown', 'son', 'davy', 'cyborg', 'angus', 'thermopyle', 'captain', 'nick', 'succorso', 'old', 'enemy', 'thrown', 'together', 'desperate', 'bid', 'survival', 'amnion', 'umcp', 'immediate', 'capture', 'fleeing', 'ship', 'secret', 'contained', 'imperative', 'trumpet', 'exhausted', 'crew', 'hope', 'lay', 'illegal', 'lab', 'distant', 'binary', 'solar', 'system', 'valdor', 'industrial', 'would', 'journey', 'unpredictable', 'danger', 'would', 'return']",4.15,103.0
Master of the Game,sidneysheldon,"['sidneysheldon', 'adventure', 'story', 'kate', 'blackwell', 'enigma', 'one', 'powerful', 'woman', 'world', 'ninetieth', 'birthday', 'celebration', 'ghost', 'absent', 'friend', 'absent', 'enemy']",4.11,43540.0
