Movie Name,Director,text,Movie Rating
The Shawshank Redemption,frankdarabont,"['frankdarabont', 'drama', 'course', 'several', 'year', 'two', 'convict', 'form', 'friendship', 'seeking', 'consolation', 'eventually', 'redemption', 'basic', 'compassion']",9.3
The Godfather,francisfordcoppola,"['francisfordcoppola', 'crime', 'drama', 'vito', 'corleone', 'head', 'mafia', 'family', 'decides', 'hand', 'empire', 'youngest', 'son', 'michael', 'however', 'decision', 'unintentionally', 'put', 'life', 'loved', 'one', 'grave', 'danger']",9.2
Ramayana: The Legend of Prince Rama,rammohan yûgôsakô koichisaski,"['rammohan', 'yûgôsakô', 'koichisaski', 'animation', 'action', 'adventure', 'anime', 'adaptation', 'hindu', 'epic', 'ramayana', 'lord', 'ram', 'combat', 'wicked', 'king', 'ravana']",9.2
The Chaos Class,ertemegilmez,"['ertemegilmez', 'comedy', 'drama', 'lazy', 'uneducated', 'student', 'share', 'close', 'bond', 'live', 'together', 'dormitory', 'plan', 'latest', 'prank', 'new', 'headmaster', 'arrives', 'student', 'naturally', 'try', 'overthrow', 'comic', 'war', 'nitwit', 'follows']",9.2
The Dark Knight,christophernolan,"['christophernolan', 'action', 'crime', 'drama', 'menace', 'known', 'joker', 'wreaks', 'havoc', 'chaos', 'people', 'gotham', 'batman', 'must', 'accept', 'one', 'greatest', 'psychological', 'physical', 'test', 'ability', 'fight', 'injustice']",9.0
Schindler's List,stevenspielberg,"['stevenspielberg', 'biography', 'drama', 'history', 'germanoccupied', 'poland', 'world', 'war', 'ii', 'industrialist', 'oskar', 'schindler', 'gradually', 'becomes', 'concerned', 'jewish', 'workforce', 'witnessing', 'persecution', 'nazi']",9.0
The Lord of the Rings: The Return of the King,peterjackson,"['peterjackson', 'action', 'adventure', 'drama', 'gandalf', 'aragorn', 'lead', 'world', 'men', 'saurons', 'army', 'draw', 'gaze', 'frodo', 'sam', 'approach', 'mount', 'doom', 'one', 'ring']",9.0
12 Angry Men,sidneylumet,"['sidneylumet', 'crime', 'drama', 'jury', 'new', 'york', 'city', 'murder', 'trial', 'frustrated', 'single', 'member', 'whose', 'skeptical', 'caution', 'force', 'carefully', 'consider', 'evidence', 'jumping', 'hasty', 'verdict']",9.0
The Godfather Part II,francisfordcoppola,"['francisfordcoppola', 'crime', 'drama', 'early', 'life', 'career', 'vito', 'corleone', '1920s', 'new', 'york', 'city', 'portrayed', 'son', 'michael', 'expands', 'tightens', 'grip', 'family', 'crime', 'syndicate']",9.0
Mirror Game,amitabhrezachowdhury,"['amitabhrezachowdhury', 'crime', 'mystery', 'thriller', 'ayna', 'alleged', 'chef', 'actor', 'go', 'jail', 'others', 'political', 'doppelganger', 'threatens', 'time', 'ayna', 'face', 'death', 'penalty', 'journalist', 'reveals', 'life', 'ayna', 'escape', 'acting', 'jail', 'guard']",9.0
Daman,lenkadebiprasad vishalmourya,"['lenkadebiprasad', 'vishalmourya', 'adventure', 'drama', 'film', 'set', '2015', 'sid', 'young', 'doctor', 'completed', 'mbbs', 'posted', 'cutoff', 'area', 'malkangiri', 'district', 'odisha', '151', 'village', 'infamous', 'naxals', 'dominance', 'basic', 'facility', 'real', 'life', 'tale', 'perseverance', 'dedication']",9.0
Pulp Fiction,quentintarantino,"['quentintarantino', 'crime', 'drama', 'life', 'two', 'mob', 'hitman', 'boxer', 'gangster', 'wife', 'pair', 'diner', 'bandit', 'intertwine', 'four', 'tale', 'violence', 'redemption']",8.9
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,haruosotozaki,"['haruosotozaki', 'animation', 'action', 'fantasy', 'tanjiro', 'venture', 'southsoutheast', 'encounter', 'cowardly', 'young', 'man', 'named', 'zenitsu', 'agatsuma', 'fellow', 'survivor', 'final', 'selection', 'sparrow', 'asks', 'tanjiro', 'help', 'keep', 'line']",8.9
